Resume_Text,Extroversion,Conscientiousness,Openness,Agreeableness,Neuroticism
Marketing professional with skills in social media and branding. Hands-on experience with cloud platforms like AWS and Azure. Improved customer satisfaction score by 15% through new initiatives. Bachelor's degree in Computer Science from ABC University.,0.3,0.93,0.23,0.15,0.25
"Marketing professional with skills in social media and branding. Proficient in Python, Java, and C++. Won the 'Employee of the Year' award in 2023. Bachelor's degree in Computer Science from ABC University.",0.11,0.57,0.04,0.85,0.87
Graphic designer with proficiency in Adobe Creative Suite. Hands-on experience with cloud platforms like AWS and Azure. Published a research paper on AI in top-tier conferences. PhD in Data Science from GHI University.,0.09,0.08,0.6,0.17,0.32
"Developed machine learning models for predicting customer behavior. Proficient in Python, Java, and C++. Successfully managed a team of 10 to deliver a $1M project. Diploma in Graphic Design from MNO Academy.",0.6,0.51,0.98,0.86,0.21
Marketing professional with skills in social media and branding. Certified in PMP and Scrum Master methodologies. Developed an open-source library with 500+ stars on GitHub. Bachelor's in Mechanical Engineering from JKL College.,0.0,0.06,0.43,0.2,0.4
Project manager with expertise in Agile methodologies. Experienced in developing RESTful APIs and microservices. Successfully managed a team of 10 to deliver a $1M project. Master's in Business Administration from DEF Institute.,0.74,0.81,0.49,0.84,0.55
Marketing professional with skills in social media and branding. Expert in data visualization tools like Tableau and Power BI. Improved customer satisfaction score by 15% through new initiatives. Bachelor's in Mechanical Engineering from JKL College.,0.73,0.37,0.42,0.2,0.4
Marketing professional with skills in social media and branding. Hands-on experience with cloud platforms like AWS and Azure. Successfully managed a team of 10 to deliver a $1M project. Bachelor's degree in Computer Science from ABC University.,0.54,0.89,0.54,0.85,0.11
Graphic designer with proficiency in Adobe Creative Suite. Hands-on experience with cloud platforms like AWS and Azure. Won the 'Employee of the Year' award in 2023. PhD in Data Science from GHI University.,0.16,1.0,0.32,0.56,0.16
Experienced data analyst with a background in Python and SQL. Hands-on experience with cloud platforms like AWS and Azure. Published a research paper on AI in top-tier conferences. Certification in Advanced Machine Learning from PQR University.,0.51,0.53,0.5,0.87,0.52
"Developed machine learning models for predicting customer behavior. Proficient in Python, Java, and C++. Successfully managed a team of 10 to deliver a $1M project. Certification in Advanced Machine Learning from PQR University.",0.87,0.78,0.51,0.43,0.32
Project manager with expertise in Agile methodologies. Hands-on experience with cloud platforms like AWS and Azure. Developed an open-source library with 500+ stars on GitHub. Master's in Business Administration from DEF Institute.,0.82,0.29,0.43,0.89,0.6
Project manager with expertise in Agile methodologies. Experienced in developing RESTful APIs and microservices. Won the 'Employee of the Year' award in 2023. Master's in Business Administration from DEF Institute.,0.45,0.72,0.34,0.79,0.8
Developed machine learning models for predicting customer behavior. Experienced in developing RESTful APIs and microservices. Published a research paper on AI in top-tier conferences. Diploma in Graphic Design from MNO Academy.,0.64,0.95,0.07,0.23,0.5
Graphic designer with proficiency in Adobe Creative Suite. Hands-on experience with cloud platforms like AWS and Azure. Developed an open-source library with 500+ stars on GitHub. Bachelor's in Mechanical Engineering from JKL College.,0.57,0.98,0.09,0.92,0.95
Worked as a software engineer at XYZ Corp for 5 years. Expert in data visualization tools like Tableau and Power BI. Improved customer satisfaction score by 15% through new initiatives. Diploma in Graphic Design from MNO Academy.,0.47,0.85,0.98,0.06,0.72
Marketing professional with skills in social media and branding. Hands-on experience with cloud platforms like AWS and Azure. Improved customer satisfaction score by 15% through new initiatives. Bachelor's degree in Computer Science from ABC University.,0.57,0.53,0.9,0.6,0.93
Marketing professional with skills in social media and branding. Hands-on experience with cloud platforms like AWS and Azure. Increased team efficiency by 20% through process optimization. Certification in Advanced Machine Learning from PQR University.,0.61,0.31,0.36,0.2,0.35
Worked as a software engineer at XYZ Corp for 5 years. Expert in data visualization tools like Tableau and Power BI. Improved customer satisfaction score by 15% through new initiatives. Certification in Advanced Machine Learning from PQR University.,0.68,0.23,0.82,0.17,0.22
Worked as a software engineer at XYZ Corp for 5 years. Experienced in developing RESTful APIs and microservices. Increased team efficiency by 20% through process optimization. Bachelor's degree in Computer Science from ABC University.,0.04,0.55,0.45,0.23,0.0
Marketing professional with skills in social media and branding. Certified in PMP and Scrum Master methodologies. Successfully managed a team of 10 to deliver a $1M project. Master's in Business Administration from DEF Institute.,0.89,0.41,0.05,0.51,0.18
Experienced data analyst with a background in Python and SQL. Experienced in developing RESTful APIs and microservices. Developed an open-source library with 500+ stars on GitHub. Bachelor's degree in Computer Science from ABC University.,0.24,0.59,0.61,0.36,0.64
Graphic designer with proficiency in Adobe Creative Suite. Experienced in developing RESTful APIs and microservices. Increased team efficiency by 20% through process optimization. Diploma in Graphic Design from MNO Academy.,0.81,0.73,0.47,0.98,0.9
"Marketing professional with skills in social media and branding. Proficient in Python, Java, and C++. Increased team efficiency by 20% through process optimization. Master's in Business Administration from DEF Institute.",0.59,0.09,0.09,0.38,0.96
Developed machine learning models for predicting customer behavior. Certified in PMP and Scrum Master methodologies. Won the 'Employee of the Year' award in 2023. Diploma in Graphic Design from MNO Academy.,0.46,0.7,0.04,0.61,0.1
Worked as a software engineer at XYZ Corp for 5 years. Strong communication and team leadership abilities. Improved customer satisfaction score by 15% through new initiatives. Bachelor's in Mechanical Engineering from JKL College.,0.37,0.38,0.91,0.68,0.3
